"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"695","State","Maulana Abul Kalam Azad University of Technology","BF-142, Sector-1, Salt Lake city,Sector-I, Kolkata","700064","West Bengal","2(f) & 12(B)"
"696","Central","Maulana Azad National Urdu University","Gachibowli,Hyderabad","500032","Telangana","2(f) & 12(B)"
"697","Private","Maulana Azad University","Village - Bujhawar, Tehsil Luni, Jodhpur - 342802 (Raj.)Jodhpur","342802","Rajasthan","2(f)"
"698","State","Maulana Mazharul Haque Arabic & Persian University","3 Polo Road, Patna","800001","Bihar","2(f)"
"699","Private","Maya Devi University","NH-72, Near Hotel The Competent Palace, Central Hope Town Selaqui, Chakrata Road, Dehradun","248011","Uttarakhand","2(f)"
"700","Private","Medhavi Skills University, Sikkim","Singtam Campus TopakhaniLower Chisopani, Singtam Bazar, SingtamDist.- East Sikkim","737134","Sikkim","2(f)"
"701","Private","Medi-Caps University","A B Road, Pigdamber, Rau, IndorePigdamber, RauIndore","453331","Madhya Pradesh","2(f)"
"702","Deemed to be Universities","Meenakshi Academy of Higher Education and Research","Vembuliamman Koil St, Annaji Nagar, Chennai","600078","Tamil Nadu","Section-III"
"703","Private","Mewar University","NH - 79 Gangrar,Chittorgarh","","Rajasthan","2(f) & 12(B)"
"704","Deemed to be Universities","MGM Institute of Health Sciences","MGM Campus, Sector-18, Kamothe","410209","Maharashtra","Section-III"
"705","Private","MGM University","MGM CampusN-6, CIDCO,Aurangabad","431003","Maharashtra","2(f)"
"706","Private","Mind Power University","Village- Bohrakoon Road, Bhimtal, Nanital","263136","Uttarakhand","2(f)"
"707","Private","MIT Art Design and Technology University","Rajbaug, Pune Solapur Highway, next to HadapsarNext to Hadapsar, Loni Kalbhor, Pune","412201","Maharashtra","2(f)"
"708","Private","MIT Vishwaprayag University, Solapur","Village Kegaon, Solapur-Pune Highway, Taluka North Solapur, District Solapur","413255","Maharashtra","2(f)"
"709","Central","Mizoram University","Post Box No. 190,Aizwal","796009","Mizoram","2(f) & 12(B)"
"710","Private","MNR University","MNR Nagar, Fasalwadi, Sangareddy, Gr. Hyderabad","502294","Telangana","2(f)"
"711","Private","Mody University of Science & Technology","LaxmangarhDistrict - SikarRajasthan","332311","Rajasthan","2(f) & 12(B)"
"712","Private","Mohammad Ali Jauhar University","Jauhar Nagar Sigan Khera Rampur (U.P)Block Saidnagar, Distt. Rampur","244927","Uttar Pradesh","2(f)"
"713","Private","Mohan Babu University","Sree Sainath Nagar, Tirupati","517102","Andhra Pradesh","2(f)"
"714","State","Mohanlal Sukhadia University","Udaipur","313 001","Rajasthan","2(f) & 12(B)"
"715","Private","Monad University","Monad University Campus. N.H. 9, Delhi Hapur Road, Village & Post Kastla, Kasmabad, Pilkhuwa, Distt. Hapur","245101","Uttar Pradesh","2(f)"
"716","Private","Monark University","At & Post Vahelal, Naroda-Dahegam Road, Ahmedabad","382330","Gujarat","2(f)"
"717","Deemed to be Universities","Morarji Desai National Institute of Yoga","68, Ashok Road, New Delhi","110001","Delhi","Section-III"
"718","State","Mother Teresa Women's University","Registrar, Mother Teresa Women's University, Attuvampatty, Kodaikanal.T.N. - 624 101.","624101","Tamil Nadu","2(f) & 12(B)"
"719","Private","Motherhood University","Village- Karondipost - BhagwanpurRoorkee, Distt. Hardwar","","Uttarakhand","2(f)"
"720","State","Mumbai University","M.G. Road, Fort, Mumbai Mumbai - 400 032.","400032","Maharashtra","2(f) & 12(B)"
"721","State","Munger University","Munger","811201","Bihar","2(f)"
"722","State","Murshidabad University","1,No. Sahid Surya Sen RoadP.O.-Berhampore,District Murshidabad","742101","West Bengal","2(f)"
"723","State","Mysore University","Manasagangotri, Mysuru,  KarnatakaMysore - 570 005.","570006","Karnataka","2(f) & 12(B)"
"724","Central","Nagaland University","HQ Campus: Lumami, Zunheboto,Kohima Campus: Meriema","798627","Nagaland","2(f) & 12(B)"
"725","State","Nalanda Open University","Biscomum Bhawan, West, Gandhi Maidan,  Patna","800001","Bihar","2(f)"
"726","Central","Nalanda University","chabila road,Rajgir,Nalanda","803116","Bihar","2(f) & 12(B)"
"727","State","Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidyalaya","Adhartal, Jabalpur-482004, Madhya PradeshJabalpur","482004","Madhya Pradesh","2(f)"
"728","Deemed to be Universities","Narsee Monjee Institute of Management Studies","V. L. Mehta Road, Vile Parle","400056","Maharashtra","Section-III & 12(B)"
"729","State","National Academy of Legal Studies & Research University","Justice City, Shameerpet, Medchal District, Telangana State, India","500101","Telangana","2(f) & 12(B)"
"730","Deemed to be Universities","National Brain Research Centre","NH-8, Manesar, Gurgaon","122052","Haryana","Section-III"
"731","Deemed to be Universities","National Dairy Research Institute","NDRI, Karnal","132001","Haryana","Section-III"
"732","Deemed to be Universities","National Institute of Advanced Manufacturing Technology (NIAMT)","Near Kanchnatoli, Hatia, Ranchi","834003","Jharkhand","Section-III"
"733","Deemed to be Universities","National Institute of Ayurveda","Jorawar Singh Gate, Amer Road, Jaipur","302002","Rajasthan","Section-III"
"734","Deemed to be Universities","National Institute of Educational Planning and Administration (NIEPA)","17-B, Sri Aurobindo Marg, New Delhi","110016","Delhi","Section-III"
"735","Deemed to be Universities","National Institute of Electronics and Information Technology (NIELIT)","Birla Farms, Bada Phull, Rupnagar, Ropar","140001","Punjab","Section-III"
"736","Deemed to be Universities","National Institute of Technical Teachers Training & Research (NITTTR)","SECTOR-26, Chandigarh, Chandigarh","160019","Chandigarh","Section-III"
"737","Deemed to be Universities","National Institute of Technical Teachers Training & Research (NITTTR)","Shamla Hills,Bhopal, Madhya Pradesh","462002","Madhya Pradesh","Section-III"
"738","Deemed to be Universities","National Institute of Technical Teachers Training & Research (NITTTR)","Taramani, Chennai, Chennai","600113","Tamil Nadu","Section-III"
"739","Deemed to be Universities","National Institute of Technical Teachers Training & Research (NITTTR)","Falguni Rd, FC Block, Sector 3, Bidhannagar, Kolkata","700106","West Bengal","Section-III"
"740","State","National Law Institute University","Kerwa Dam Road, BhopalBarkeri KalanBhopal","462044","Madhya Pradesh","2(f) & 12(B)"
"741","State","National law School of India University","Nagarbhavi, BengaluruBangalore - 560 072.","560072","Karnataka","2(f) & 12(B)"
"742","State","National Law University","NH-65, Nagour Road MandoreJodhpur","342304","Rajasthan","2(f) & 12(B)"
"743","State","National Law University","Sector-14, Dwarka","110078","Delhi","2(f) & 12(B)"
"744","State","National Law University","Kathajodi Campus, Sec – 13, Cuttack","753015","Odisha","2(f) & 12(B)"
"745","State","National Law University and Judicial Academy","Hajo Road, Amingaon, Kamrup (Rural), AssamBholanath Mandir Parh, UlubariGuwahati","781031","Assam","2(f) & 12(B)"
"746","State","National Law University Tripura","Narsingarh,Tripura","799 009","Tripura","2(f)"
"747","Central","National Sanskrit University( previously Rashtriya Sanskrit Vidyapeeth)","Near Balaji Colony, Tirupati","517507","Andhra Pradesh","2(f) & 12(B)"
"748","Central","National Sports University","2nd floor, Olympic Bhawan,Khuman Lampak Sports Complex,Imphal","795001","Manipur","2(f) & 12(B)"
"749","State","National University of Advanced Legal Studies (NUALS)","HMT Colony P.O., Kalamassery, KochiKochi-682017, Kerala","683503","Kerala","2(f) & 12(B)"
"750","State","National University of Study & Research in Law","P.O. Bukru, Kanke Pithoria Road, Kanke - Nagari, Kanke, BIT Mesra,Ranchi","834006","Jharkhand","2(f) & 12(B)"
"751","Deemed to be Universities","Nava Nalanda Mahavihara","Bhikshu Jagdish Kashyap Marg, Nalanda","803111","Bihar","Section-III"
"752","Private","Navrachana University","Vasna Bhayli Road, Vadodara -391 410 Gujarat, IndiaVadodaraGujarat","391410","Gujarat","2(f)"
"753","State","Navsari Agriculture University","Navsari Agricultural University, Eru Char Rasta, Dandi Road, Navsari – 396 450 (Gujarat) INDIA","396450","Gujarat","2(f)"
"754","Private","Nayanta University","Interim Campus, at Survey No. 58 and 59/4, Paud Road, Bavdhan, Khurd, Pune","411021","Maharashtra","2(f)"
"755","Deemed to be Universities","Nehru Gram Bharati","Kotwa-Jamunipur, Dubawal, Prayagraj","221505","Uttar Pradesh","Section-III"
"756","State","Netaji Shubhash Open University","DD-26, Salt Lake, Sector-1, Kolkata","700064","West Bengal","2(f) & 12(B)"
"757","Private","Netaji Subhas University","Pokhari, PO-Bhilai Pahari,PS-MGM, Dist- East Singhbhum,Jamshedpur","831012","Jharkhand","2(f)"
"758","State","Netaji Subhas University of Technology","Sector 3, Dwarka","110078","Delhi","2(f) & 12(B)"
"759","Deemed to be Universities","Netaji Subhash Chandra Bose Institute of Higher Learning","Rajiv Gandhi Nagar, Port Blair, Andaman and Nicobar Islands","744104","Andaman and Nicobar Islands","Section-III"
"760","Private","NICMAR University","Building NO./Plot NO. 25/1NIA Post Office, BalewadiTaluka Haveli, District Pune","411045","Maharashtra","2(f)"
"761","Private","NICMAR University of Construction Studies","Survey No. 371-384, 389 and 390 of Jaggamguda Shamirpet, P.O. - Aliabad, Medchal-Malkajgiri District, Hyderabad","500101","Telangana","2(f)"
"762","Private","NIILM University","NH-65 AMBALA ROAD,KAITHALAmbala Road, Kaithal","136027","Haryana","2(f)"
"763","Private","NIIT University","NH-08, DELHI-JAIPUR HIGHWAY, NEEMRANA DIST. ALWAR RAJASTHANNeemrana,Distt. Alwar","301705","Rajasthan","2(f)"
"764","State","Nilamber-Pitamber University","Madininager, Palamu-822101Jharkhand","","Jharkhand","2(f)"
"765","Private","NIMS University","NH-11 C, Jaipur- Delhi Highway, Jaipur, Rajasthan(NH-11C), Jaipur","303121","Rajasthan","2(f)"
"766","Private","Nirma University","Nirma University, S. G. Highway, Ahmedabad, GujaratVillage - ChharodiAhmedabad","382481","Gujarat","2(f)"
"767","Private","Nirwan University","NH-21, Village Jhar,Near Bassi, Main Agra Road,Jaipur","303705","Rajasthan","2(f)"
"768","Private","NIST University","Institute Park, Pallur Hills, Distt.- Ganjam","761008","Odisha","2(f)"
"769","Deemed to be Universities","NITTE","University Enclave, Deralakatte, Mangalore","575018","Karnataka","Section-III & 12(B)"
"770","State","Nizam's Institute of Medical Sciences","Punjagutta, Hyderabad","500082","Telangana","2(f)"
"771","Private","Noble University","Noble Group of Institutions, Parth Vatika, Bhesan Road, Ta. & Distt., Junagadh","362310","Gujarat","2(f)"
"772","Private","Noida International University","Plot 1, Sector-17 A, Greater Noida,Gautam Budh Nagar","203201","Uttar Pradesh","2(f)"
"773","Deemed to be Universities","Noorul Islam Centre for Higher Education","Kumaracoil, Kanyakumari District,","629180","Tamil Nadu","Section-III"
"774","Private","North East Adventist University","Khliehtyrshi, P.O. Thadlaskein, West Jaintia Hills District","793151","Meghalaya","2(f)"
"775","Private","North East Christian University","Anchor Complex, East BlockBurma Camp, Post Box-109Dimapur","797112","Nagaland","2(f)"
"776","Private","North East Frontier Technical University","Sibu-Puyi, Aalo (PO), West Siang (Distt.)","791001","Arunachal Pradesh","2(f)"
"777","Central","North Eastern Hill University","NEHU Campus,Shillong,Mawlai","793022","Meghalaya","2(f) & 12(B)"
"778","Deemed to be Universities","North Eastern Regional Institute of Science & Technology","P.O. Nirjuli, District- Papumpare","791109","Arunachal Pradesh","Section-III"
"779","State","Nrupathunga University","Nrupathunga Road, Bengaluru,","","Karnataka","2(f)"
"780","Private","O.P. Jindal University","OP Jindal Knoledge Park, Punjipathra, RaigarhGharghoda Road Punjipathra, Raigarh","496109","Chhattisgarh","2(f)"
"781","State","Odia University","Satyabdi, Puri","752014","Odisha","2(f)"
"782","State","Odisha State Open University","G.M. University Campus, Budharaja, Sambalpur","768004","Odisha","2(f)"
"783","State","Odisha University Of Agriculture & Technology","Surya Nagar, Bhubaneswar","751003","Odisha","2(f) & 12(B)"
"784","State","Odisha University of Health Sciences","Sishu Bhawan Square, Bhubaneswar","751009","Odisha","2(f)"
"785","State","Odisha University of Technology and Research","Kalinga Nagar, Ghatikia, P.O. Mahalaxmi Vihar, Bhubaneswer","751003","Odisha","2(f)"
"786","Private","Om Sterling Global University","NH-52, Hisar-Chandigarh Road, V.P.O. Juglan, HisarHisar-Chandigarh Road,Hisar","125001","Haryana","2(f)"
"787","Private","OPJS University","VPO – Rawatsar KunjlaNear Sankhu Fort Jhunjhunu Road","Rajgarh (Sadulpur) Churu","Rajasthan","2(f)"
"788","Private","Oriental University","Opp. Rewati Range Gate No. 1, Post Shri Aurobindo, Jakhya, IndorePost Aurobindo, Sanwer Road, Jakhya, Indore","453555","Madhya Pradesh","2(f)"
"789","State","Osmania University","Administrative Building Osmania University Campus Hyderabad-500007, Telangana State, India.PIN - 500 007.","500007","Telangana","2(f) & 12(B)"
"790","Private","P. P. Savani University","NH 8, GETCO, Near BiltechVillage: Dhamdod, Kosamba,Ta.: Mangrol, Dist.: Surat","394125","Gujarat","2(f)"
"791","State","P. V. Narsimha Rao Telangana Veterinary University","Administrative Office, Rajendranagar, Hyderabad","500030","Telangana","2(f)"
"792","Private","P.K. University","Village - Thanra, Teh - Karera,NH-27,District - Shivpuri","473665","Madhya Pradesh","2(f)"
"793","Private","Pacific Academy of Higher Education  & Research (PAHER)","Airport Road, Pratap Nagar ExtensionDebari, UdaipurNULL","313 001","Rajasthan","2(f)"
"794","Private","Pacific Medical University","Bhilo ka Bedla, ByepassNH - 27, Udiapur","","Rajasthan","2(f)"
"795","State","Palamuru University","Ayyappa Complex, Opp. Police Head Quarters, Mahabubnagar","509001","Telangana","2(f) & 12(B)"
"796","Private","Pandit Deendayal Energy University (Formerly Pandit Deendayal Petroleum University)","Knowledge Corridor, Raisan Village, Gandhinagar","382007","Gujarat","Category-I"
"797","State","Pandit Deendayal Upadhyaya Shekhawati University","Nawalgarh Rd, Katrathal, Sikar","332 001","Rajasthan","2(f)"
"798","State","Pandit S N Shukla University","Nawalpur, Shahdol, M.P.","484001","Madhya Pradesh","2(f) & 12(B)"
"799","State","Pandit Sundarlal Sharma (Open) University","Koni Birkona Road, Bilaspur, Chhattisgarh, Bilaspur-495001Chhattisgarh","495009","Chhattisgarh","2(f)"
"800","State","Panjab University","Sector-14/25Chandigarh","160014","Chandigarh","2(f) & 12(B)"
"801","Private","Parul University","P.O.Limda, Ta: Waghodia, Dist: Vadodara-391760Tal - WaghodiaDist. Vadodara","391760","Gujarat","Category-I"
"802","State","Patliputra University","Kankarbagh Road, Near Rajendra Nagar Terminal, Patna","800020","Bihar","2(f)"
"803","State","Patna University","Patna","800005","Bihar","2(f) & 12(B)"
"804","Private","PDM University","Post Box No.-15, Sector-3A,Sarai Aurangabad, BahadurgarhHaryana","124507","Haryana","2(f)"
"805","Private","People's University","People's Campus, Bhanpur, Bhopal(M.P)","462037","Madhya Pradesh","2(f)"
"806","Deemed to be Universities","Periyar Maniammai Institute of Science & Technology (PMIST)","Periyar Nagar, Vallam, Thanjavur","613403","Tamil Nadu","Section-III"
"807","State","Periyar University","Periyar Palkalai Nagar,Salem-11Campus,  Salem- 636 011 (T.N.)","636011","Tamil Nadu","2(f) & 12(B)"
"808","Private","PES University","100 Feet Ring Road, BSK III Stage, Bangalore","560085","Karnataka","2(f)"
"809","Private","Pimpri Chinchwad University","Gut No-44, 46, 48, 49 and 50, Sate Taluka Maval, District-Pune","412206","Maharashtra","2(f)"
"810","Private","Plaksha University","Punjab, Block B, Sector-101, Alpha, IT CIty, SAS NagarMohali","140306","Punjab","2(f)"
"811","Private","Plastindia International University","Dungra, GIDC,Vapi, Dist-Valsad","396195","Gujarat","2(f)"
"812","Central","Pondicherry University","R Venkat Raman Nagar, Kalapet,Puducherry","605014","Puducherry","2(f) & 12(B)"
"813","Deemed to be Universities","Ponnaiyah Ramajayam Institute of Science & Technology (PRIST)","Trichy–Thanjavur Road, Vallam, Cafe road","613403","Tamil Nadu","Section-III"
"814","Private","Poornima University","IS-2027-31, P.O-Vidhani Vatika, Ramchandrapura, Sitapura Extension, JaipurJaipur, Rajasthan","303905","Rajasthan","2(f) & 12(B)"
"815","State","Potti Sreeramulu Telugu University","Lalitakala -KshetramHyderabad-500004","","Telangana","2(f) & 12(B)"
"816","Private","Pragjyotishpur University","Hajongbari, P.O. - Chandrapur, Kamrup, Metropolitan District, Guwahati","781050","Assam","2(f)"
"817","Private","Pratap University","Pratap University, Sunderpura (Chandwaji), Delhi-Mumbai Highway, Jaipur, Rajasthan-303104","303104","Rajasthan","2(f)"
"818","Deemed to be Universities","Pravara Institute of Medical Sciences","Tal:Rahata, Dist:Ahmednagar, Loni","413736","Maharashtra","Section-III"
"819","Private","Presidency  University","Itgalpur, Rajanakunte,Yelahanka,Bengaluru,560064RajanakunteBangaluru","560064","Karnataka","2(f)"
"820","State","Presidency University","86/1, College Street, KolkataKolkata","700073","West Bengal","2(f) & 12(B)"
"821","Private","Prestige University","Gram Ringnodia, Indore-Ujjain, Indore","453551","Madhya Pradesh","2(f)"
"822","State","Prof. Rajendra Singh (Rajju Bhaiya) University (Formerly Allahabad State University)","Prayagraj,Mirzapur Road, Naini,Prayagraj","211009","Uttar Pradesh","2(f)"
"823","State","Professor Jayashankar Telangana State Agricultural University","Administrative Office, Rajendranagar, Hyderabad","500030","Telangana","2(f) & 12(B)"
"824","State","Pt. Bhagwat Dayal Sharma University of Health Sciences","Rohtak-124001Haryana","","Haryana","2(f) & 12(B)"
"825","State","Pt. Ravishankar Shukla University","Pt. Ravishankar Shukla University, Amanaka G. E. Road Raipur, C.G.Chattisgarh","492010","Chhattisgarh","2(f) & 12(B)"
"826","State","Puducherry Technological University","Pillaichavady, Puducherry","605014","Puducherry","2(f)"
"827","State","Punjab Agriculture University","Ludhiana","141004","Punjab","2(f) & 12(B)"
"828","Deemed to be Universities","Punjab Engineering College","Sector 12, Chandigarh","160009","Chandigarh","Section-III"
"829","State","Punjabi University","Rajpura road,  Patiala","147002","Punjab","2(f) & 12(B)"
"830","State","Punyashlok Ahilyadevi Holkar Solapur University","Kegaon, Solapur-Pune National Highway, Solapur-413255, Maharashtra (India)Solapur Pune national HighwayKegaon,Solapur-413255 (Maharashtra)","413255","Maharashtra","2(f) & 12(B)"
"831","State","Purnea University","Purnea","854301","Bihar","2(f)"
"832","Private","Quantum University","22km Milestone, Roorkee-Dehradun highway (NH-73), Roorkee","247167","Uttarakhand","2(f)"
"833","Private","R.N.B. Global University","RNB Global City Ganganagar RoadBikaner","334601","Rajasthan","2(f)"
"834","State","Rabindra Bharati University","56A, B.T. ROAD, KOLKATA - 700 050Kolkata - 700 050.","700050","West Bengal","2(f) & 12(B)"
"835","State","Rabindranath Tagore University","Hojai,Hojai district","782435","Assam","2(f)"
"836","Private","Rabindranath Tagore University (formerly known as AISECT University)","Chiklod Road, Near Bangrasia Chouraha Bhopal","462047","Madhya Pradesh","2(f)"
"837","Private","Radha Govind University","Radha Govind Nagar, Lalki GhatiLalki Ghati, Ramgarh-","829122","Jharkhand","2(f)"
"838","Private","Raffles University","Japanese Zone, NH-48, Neemrana, Alwar, RajasthanDistrict : Alwar, Neemrana","301705","Rajasthan","2(f)"
"839","Private","Rai Technology University","11th Mile Gallu, Doddaballapur – Nelamangala Road, Mallohalli Village, Kadanur(Post), Madure(Hobli), Doddaballapur Taluk, Bangalore SH-74, Off Highway 207,Doddaballapur Taluk, Bangalore","561204","Karnataka","2(f)"
"840","Private","Rai University","Saroda, Dholka Taluka, Ahmedabad, GujaratAhmedabad, Gujarat","382260","Gujarat","2(f)"
"841","State","Raichur University","Jnana Tunga CampusYegrageraRaichur","584133","Karnataka","2(f)"
"842","State","Raiganj University","P.O. Raiganj,Dist. Uttar DinajpurWest Bengal","733134","West Bengal","2(f) & 12(B)"
"843","State","Raj Rishi Bhartrihari Matsya University","abu Shobha Ram Govt. Arts College Campus, Alwar","301001","Rajasthan","2(f)"
"844","State","Raja Mahendra Pratap Singh State University","Palwal Road, Lodha, Aligarh","202140","Uttar Pradesh","2(f)"
"845","State","Raja Mansingh Tomar Music & Arts University","Mahadaji Chowk, Achaleshwar Marg, Gwalior","474009","Madhya Pradesh","2(f) & 12(B)"
"846","State","Raja Shankar Shah University, Chhindwara","Library building of Government Autonomous Post Graduate College,Chhindwara,","480001","Madhya Pradesh","2(f)"
"847","State","Rajasthan Technical University","Rawat bhata RoadKota-324 010, Rajasthan","","Rajasthan","2(f)"
"848","State","Rajasthan University","J L N MargPIN - 302 004.","302004","Rajasthan","2(f) & 12(B)"
"849","State","Rajasthan University of Health Sciences","Kumbha Marg, Pratap Nagar,Sector-18, Tonk Road,Sanganer, Jaipur","302033","Rajasthan","2(f) & 12(B)"
"850","State","Rajasthan University of Veterinary & Animal Sciences","Vijay Bhawan Palace Complex, Veterinary University Road, Bikaner","334001","Rajasthan","2(f) & 12(B)"
"851","State","Rajendra University","Prajna Vihar, Balangir","767002","Odisha","2(f)"
"852","Central","Rajiv Gandhi National Aviation University","Near Fursatganj Airfield,Fursatganj,Dstt. Raebareli","229302","Uttar Pradesh","2(f) & 12(B)"
"853","State","Rajiv Gandhi Prodoyogiki Vishwavidyalaya","Airport BypassGandhi NagarBhopal (M.P.)","462036","Madhya Pradesh","2(f) & 12(B)"
"854","Central","Rajiv Gandhi University","Rono Hills, P.O. Doimukh, Itanagar","791112","Arunachal Pradesh","2(f) & 12(B)"
"855","State","Rajiv Gandhi University of Health Science","JayanagarBangalore - 560 041.","","Karnataka","2(f)"
"856","State","Rajiv Gandhi University of Knowledge Technologies","V. R. Mansions, Kunchanapalli, Guntur District","522501","Andhra Pradesh","2(f) & 12(B)"
"857","State","Rajiv Gandhi University of Knowledge Technology","RGUKT BASAR, MA:BASAR, DT:NIRMAL, TELANGANA, PIN 504107IIIT-H Campus, GachibowliHyderabad","504107","Telangana","2(f) & 12(B)"
"858","Private","Rajju Shroff Rofel University (RSRU)","Survey No. 78-79, ROFEL Campus, Namdha-Vapi, Valsad","396191","Gujarat","2(f)"
"859","State","Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya","Opp. Mela GroundRace Course RoadGwalior,Madhya Pradesh","474 002","Madhya Pradesh","2(f)"
"860","Private","Ram Krishna Dharmarth Foundation (RKDF) University","604, 5th Floor, Gopal Marketing ComplexNear Argora ChoukRanchi","834004","Jharkhand","2(f)"
"861","State","Rama Devi Women's University","Vidya Vihar, Bhoi Nagar, Bhubaneswar","751022","Odisha","2(f) & 12(B)"
"862","Private","Rama University","NH-91, Rama City, Mandhana, Kanpur, Uttar Pradesh Mandhana, Kanpur","209217","Uttar Pradesh","2(f)"
"863","Deemed to be Universities","Ramakrishna Mission Vivekananda Educational  and Research Institute","PO Belur Math, Dist. Howrah","711202","West Bengal","Section-III & 12(B)"
"864","Private","Ramchandra Chandravansi University","Nawadihkala, PO & PS BishrampurPalamu","822132","Jharkhand","2(f)"
"865","Private","Ramdeobaba University","Ramdeo Tekadi, Katol Road, Nagpur","440013","Maharashtra","2(f)"
"866","State","Ranchi University","Ranchi,PIN - 834 008. (JHARKHAND)","","Jharkhand","2(f) & 12(B)"
"867","State","Rani Awantibai Lodhi Vishwavidyalaya","Near Central School No-3, Rajghat Road, Sagar","470002","Madhya Pradesh","2(f)"
"868","State","Rani Channamma University","Rani Channamma University, Vidyasangama Campus, Bhutaramanahatti, PB-NH 04,  Belagavi-Karnataka-IndiaP.B Highway,Belagavi","591156","Karnataka","2(f) & 12(B)"
"869","State","Rani Durgavati Vishwavidyalaya","Jabalpur - 482 001. (M.P)","","Madhya Pradesh","2(f) & 12(B)"
"870","Central","Rani Lakshmi Bai Central Agricultural University","NH-75, Near Pahuj,Dam, Gwalier Road,Jhansi","284003","Uttar Pradesh","2(f) & 12(B)"
"871","State","Rani Rashmoni Green University(formerly West Bengal Green University.)","At the premises of Singur General Degree College, Singur, Hooghly, West Bengal","712409","West Bengal","2(f)"
"872","Private","Ras Bihari Bose Subharti university","Subhartipuram Kotda Santaur, Aamwala Road, P.O.- Chandanwadi, Nanda ki Chowki, Prem Nagar, Dehradun","248007","Uttarakhand","2(f)"
"873","State","Rashtrasant Tukadoji Maharaj Nagpur University","Chhatrapati Shivaji Maharaj Administrative Premises,Ravindranath Tagore Marg,Nagpur","440001","Maharashtra","2(f) & 12(B)"
"874","State","Ravenshaw University","Cuttack","753003","Odisha","2(f) & 12(B)"
"875","State","Rayalaseema University","Nandyala Road,Kurnool","518002","Andhra Pradesh","2(f) & 12(B)"
"876","Private","Rayat Bahra University","VPO - Sahauran, Tehsil - KhararDisst. - MohaliPunjab","140104","Punjab","2(f)"
"877","Private","Renaissance University","Gram Revti, Behind Aurobindo Hospital, Sanwer-Road, Indore (MP)51/1/1 Gram Reoti, Sanwer Road,Behind Aurobindo Hospital, Indore","452015","Madhya Pradesh","2(f)"
"878","Private","Reva University","Rukmani knowledge park,KattigenahalliYelahanka,Bangalore","560064","Karnataka","2(f)"
"879","Private","RIMT University","Opposite Floating Restaurant,Sirhind Side, Mandi Gobindgarh","147301","Punjab","2(f)"
"880","Private","Rishihood University","NH-44 (GT Road),Near Bahalgarh Chowk,Delhi NCR, Sonipat","131021","Haryana","2(f)"
"881","Private","RK University","RK University, Bhavnagar Highway, Kasturbadham, Rajkot - 360020, Gujarat, India.Rajkot","360020","Gujarat","2(f)"
"882","Private","RKDF University","Airport By Pass Road, Gandhi Nagar, Bhopal, Madhya PradeshGandhi NagarBhopal","462033","Madhya Pradesh","2(f)"
"883","Private","RV University","RVU Administrative BuildingRV Vidyaniketan Post8th Mile, Mysuru Road, Bengaluru","560059","Karnataka","2(f)"
"884","Private","S. K. S. International University","21st Milestone, NH-2, Tehsil Chatta, Mathura","281406","Uttar Pradesh","2(f)"
"885","Private","S.R. University","Ananthasagar(V),Hasanparthy(M),Warangal","506371","Telangana","2(f)"
"886","Deemed to be Universities","S.R.M Institute of Science and Technology","SRM Nagar, Kattankulathur, Chengalpattu District","603203","Tamil Nadu","Section-III & 12(B)"
"887","Private","Sabarmati University","Greenwood, Nr, Vaishnodevi CircleSardar patel Ring Road, OganjPO. Chandlodia, Ahmedabad","382481","Gujarat","2(f)"
"888","State","Sadhu Ram Chand Murmu University of Jhargram( formerly Jhargram University)","Jhargram Raj College, Jhagram","721507","West Bengal","2(f)"
"889","Private","Sage University","KAILOD KARTAL RAU BYPASS INDOREIndore-Dewas Bypass Road,Rau, Indore","452020","Madhya Pradesh","2(f)"
"890","Private","Sai Nath University","Jirawar, Chandway- Kuchhu Road,P.O. - OrmanjhiDist. - Ranchi","835219","Jharkhand","2(f)"
"891","Private","Sai Tirupati University","Ambua RoadVillage Umarda, GirwaUdaipur","313015","Rajasthan","2(f)"
"892","Private","Sai University","One Hub Chennai, Paiyanur Old Mahabalipuram Road, Chennai","603104","Tamil Nadu","2(f)"
"893","Private","SAM Global University","Agariya Chopda,Bilkhiriya,Bhopal","","Madhya Pradesh","2(f)"
"894","Deemed to be Universities","Sam Higginbottom Institute of Agriculture, Technology & Sciences","Rewa Road, Naini, Allahabad","211007","Uttar Pradesh","Section-III"
"895","State","Sambalpur University","Jyoti Vihar, Burla, Sambalpur","768019","Odisha","2(f) & 12(B)"
"896","Central","Sammakka Sarakka Central Tribal University","Jakaram Village, Mulugu District, Hyderabad","500046","Telangana","2(f) & 12(B)"
"897","State","Sampurnanand Sanskrit Vishwavidyalaya","Varanasi - 221 002. (UP)","","Uttar Pradesh","2(f) & 12(B)"
"898","State","Sanchi University of Buddhist-Indic Studies","2nd Floor, Institute of Good Governance & Policy AnalysisBhadbhada Square,Bhopal","462003","Madhya Pradesh","2(f) & 12(B)"
"899","Private","Sandip University","Trimbak RoadMahiravani, Nashik, Maharashtra","422213","Maharashtra","2(f) & 12(B)"
"900","Private","Sandip University","Neelam Vidya Vihar, Vill-Sijoul, Dist.-Madhubani","847235","Bihar","2(f)"
"901","Private","Sangam University","NH.79, Bhilwara Chittor By PassChittor Road, Bhilwara, Rajasthan","311001","Rajasthan","2(f)"
